'di 'dra	dindra
bud+d+ha	buddha
lnga brgya	ngabgya
Da ki nI	dakini
DA ki nI	dakini
shes rig	sherig
tA re	taré
tut+tA re	tuttaré
dz+nyA na	jñana
A yu She	ayukhé
a mA ra Ni	amarani
dzI wan+ti	dziwenti
kro d+ha	krodha
pu n+ye	punyé
A yur	ayur
kI li	kili
kI la ya	kilaya
nr-i	nri
dzaH	dza
pha la	pala
mu ne	muné
d+hu ru	dhuru
sa ma ya	samaya
shAn+tiM	shanting
ku ru	kuru
bo d+hi tsi t+ta	bodhitsitta
bo d+hi tsit+ta	bodhitsitta
su kha	sukha
pany+tsa	pentsa
mu ne ye	muneyé
gu h+ya	guhya
ka ta	kata
kro d+hi	krodhi
shwa rI	shori
ha ri ni sa	harinisa
ra tsa	ratsa
duSh+TaN	dushten
ta ka ha na	takahana
da ha pa tsa	dahapatsa
e dza	edza
yak+sha	yaksha
ma ma	mama
rak+sha	raksha
badz+ra	benza
sar+ba	sarva
hoha	ho
phaiM	pem
h+ya wa data	hyavadat
te ShAny+tsa	teshan tsa
ni ro d+ha	nirodha
ar+g+haM	argham
pAd+yaM	padam
pUSh+pe	pupé
puSh+pe	pupé
d+hUpe	dhupé
A lo ke	aloké
gan+d+he	gandhé
nai wa d+ya	nevidé
shap+ta	shabta
pra tI ts+tsha ya	pratitsaya
satwa	sato
ma nu	manu
pA la ya	palaya
te no pa	tenopa
ti Sh+tha	tishta
dri D+h+ro	dridho
b+ha wa	bhava
me	mé
su to Sh+yo	sutokhayo
su po Sh+yo	supokhayo
a nu rak+to	anurakto
m+me	mé
pra yats+tsha	prayatsa
kar+ma	karma
su tsa	sutsa
tsit+taM	tsittam
shre yaM	shreyang
b+ha ga wAn	bhagavan
muny+tsa	muntsa
pad+mI	pemi
he tun+te ShAn+ta tha ga to	hetun teshan tatagato
he tun+te ShAn+ta thA ga to	hetun teshan tatagato
d+hartu	dhatu
rang rig	rangrig
'dod pa'am	döpa'am
bcom ldan 'das ma	chomden dema
mkha' 'gro ma	khandroma
dang bcas pa	dang chepa
kha T+wAM ka	khatamka
kha T+wAM	khatam
rgyas 'debs	gyendeb
bai DUr+ya	baidurya
shAkya	shakya
rin po che	rinpoche
mi 'gag	mingak
b+ha ga wa ti	bhagavati
pradzanyA	prajña
hri da ya	hridaya
pA ra mi tA	paramita
pradzanyA pA ra mi tA	prajñaparamita
dwa ti'i bu	datibu
seng nge	sengé
swa b+hA wa	sobhava
haM	hang
tor ya	torya
u Ta	uta
mi Ta ya	mitaya
mon Ta	mönta
kro ta ya	krotaya
a ko	ako
a b+hu	abhu
sha ta ya	shataya
e ling	eling
e Ta ya	etaya
la mon	lamön
Ta ya	taya
as ni	eni
pis ni	pini
b+hur kur	bhurkur
pra Na ye	pranayé
b+hur tsi	bhurtsi
b+hur ku	bhurku
bi ma le	bimalé
u tsuSh+ma	utsushma
tad+ya tha	teyata
ga te	gaté
pA ra	para
saM ga te	samgaté
bo d+hi	bodhi
a na le	analé
bi Sha de	bikadé
bai ra	baira
d+ha ri	dhari
ban+d+ha	bendha
Sh+NI Sha	nika
ma thob bar	matob bar
la bar gcod	la barchö
dpal chen por	pal chenpor
lha chen po	lha chenpo
klu chen po	lu chenpo
gza' chen po	za chenpo
e ka tsa Ti	ekadzati
bsam mi khyab	sam mikhyab
ma hA ka la	mahakala
tut+tA ra	tuttara
pad+mas	pemé
traT	tré
a mri ta	amrita
seng ge	sengé
kha bad	khabé
kang+ka	kangka
rgyas 'debs ma	gyendebma
the'u	te'u
lang+ka	langka
rak+Sha	raksha
sA d+hu	sadhu
kA ya	kaya
wak+ka	wakka
g+ha g+ha	ghagha
g+ha tA ya	ghataya
mA ra ya	maraya
duSh+TaM	dushtam
kI lA ya	kilaya
d+ha ro da	dharoda
dz+nyA	jña
a kro te	atroté
ka mud+ga ra	kamud gara
ba liM ta	balingta
rak+ta	rakta
b+han+d+ha	bhenda
sa man+ta	samenta
mu khe b+h+ya	mukhebé
rde'u	de'u
yum chen mo	yum chenmo
kha na ma tho	khana mato
kha mun+t+ra	khamuntra
duSh+tan	dushten
pa tsa ra Na	patsarana
Dak+ki ni	dakini
ma hA kA li	mahakali
man+dA ra	mendara
ru tra	rudra
gtsug lag khang	tsuklakhang
yang le ber	yanglé wer
tsi'u dmar po	tsiu marpo
kyai	kyé
sangs rgyas pa	sangyé pa
kun tu bzang mo	kuntuzangmo
