10 hral|torn.
21 gnyis cha|SANST half.
21 gnyul ba|= {nyul ba}.
21 'go ltab pa|apricots?
21 gos tsam|SANST satin.
21 gri mag|v. {grib ma}.
21 gser mkhan|goldsmith.
21 gshin pho|= {shi bo}.
21 gtim pa|v. {thim pa}.
21 g.ya' pa|rusty (Jä.).
21 g.yol ba|v. {yol ba}.
21 gze re|weak, reduced.
21 gzhi pa|= {brtag pa}.
21 'jo ba mo|a milkmaid.
21 kA ka|‡ SANST a crow.
21 ka pi da|‡ = {ka pi}.
21 ka ran da ba|‡ SANST.
21 kha sur|v. {kha zur}.
21 kha tshub|snow-storm.
21 khe med|unprofitable.
21 khroms|v. {'grem pa}.
21 khyig|v. {'khyig pa}.
21 khyi spyang|a jackal.
21 khyug|v. {'khyug pa}.
21 'khyus|v. {'khyu ba}.
21 kom pa|to tan (skin).
21 ko thag|strap; thong.
21 kun dong|SANST onion.
21 kyo rang|v. {kyo ba}.
21 lan lon|= {lan ldon}.
21 la nye|a mark (Sch.).
21 lce myang tshva|alum.
21 ltir ba|v. {ldir ba}.
21 lug bal|sheep's wool.
21 lugs gong|a crucible.
21 ngar 'dzin|v. {ngar}.
21 nya mo|a female fish.
21 nyams stobs|strength.
21 nyed pa|= {mnyed pa}.
21 pha logs|= {pha rol}.
21 pho rmongs|the penis.
21 ral kha|v. {ral gri}.
21 rba|or {dba'}, waves.
21 rgad mo|an old woman.
21 rgya tshos|vermilion.
21 rnga lpags|drum-skin.
21 rtas pa|v. {brta ba}.
21 |SANST shadow, shade.
21 sbar ba|v. {sbor ba}.
21 sbar mo|v. {spar mo}.
21 sga glo|saddle girth.
21 skem nad|consumption.
21 skyal|SANST swimming.
21 smos drag|loud voice.
21 sngar ltar|as before.
21 snga shas|very early.
21 sngo skya|pale-green.
21 spu ra|SANST a knife.
21 sre mog|v. {sre nag}.
21 thag gru|= {tha gru}.
21 thar|for {thar thor}.
21 thibs mo|dense, dark.
21 thob ga|v. {thob lo}.
21 yob pa|v. {g.yob pa}.
21 yul gzhis|v. {gzhis}.
21 zags pa|SANST fallen.
21 ze ma|the eye-lashes.
21 zhe log|= {zhen log}.
21 zhu snga|= {zhu ngo}.
22 a dogs|a table (Sch.).
22 aun thug|v. {'u thug}.
22 aut pa la yu ba|SANST.
22 bcir ba|v. {'chir ba}.
22 be no|+\n= {'dzin pa}.
22 bltas|pf. of {lta ba}.
22 brlab pa|v. {rlob pa}.
22 brlam pa|v. {rlom pa}.
22 brod|= {bro ba} taste.
22 bstud pa|v. {stud pa}.
22 bu de tshe|SANST life.
22 bza' shing|fruit-tree.
22 chag gzhong|v. {chag}.
22 cha grum|a square rug.
22 ci yin|= {ci ga} what?
22 da rangs|this morning.
22 dbub pa|v. {'bubs pa}.
22 de don|SANST for that.
22 'der|prob. for {lder}.
22 dmul ba|v. {'dzum pa}.
22 dril ba|v. {'dril ba}.
22 dung rdo|fossil-shell.
22 gags|SANST obstructed.
22 glo bur ba|suddenness.
22 gnye ba|to woo, court.
22 gnyen 'dab|v. {gnyen}.
22 gnyer ma can|wrinkled.
22 gnyung dkar|rape seed.
22 gsal kha|= {gsal cha}.
22 gsal le ba|very clear.
22 gtam ngan|evil report.
22 gug gul|‡ v. {gu gul}.
22 gyed pa|v. {'gyed pa}.
22 gzum pa|v. {'dzum pa}.
22 hi ra|‡ SANST diamond.
22 hor zla|Tibetan month.
22 ka|for {ka ba} pillar.
22 kha 'don|v. {kha ton}.
22 kha mdog|v. {kha dog}.
22 kha nad|mouth disease.
22 kha nyog|v. {kha nog}.
22 kha rtsod|disputation.
22 khu rna|v. {khu rdul}.
22 khyi khang|dog kennel.
22 lag bubs|v. {'bub pa}.
22 lag stabs|= {lag len}.
22 lam chen|= {rgya lam}.
22 lcags mag|tinder-case.
22 lhabs|SANST [middle]S.
22 ljang ma|= {ljang bu}.
22 ljur|prob. for {ldur}.
22 lti ri|pitcher (Sch.).
22 ma g.yog|v. {ma chen}.
22 man phad|= {man ngag}.
22 mchog bde|met. a fish.
22 mgo ba|SANST the head.
22 mgo na|SANST headache.
22 mgrin pa'i sgra|voice.
22 mi hreng|v. {mi rang}.
22 mi lus|the human body.
22 mjal phyag|salutation.
22 mthe bong|= {mthe bo}.
22 nam ring|a long night.
22 nges smod|SANST curse.
22 nyer byed|met. a tree.
22 nyer 'khod|SANST near.
22 nyi gung|noon, midday.
22 'og rol tu|= {'og tu}.
22 pha bi|+\n= {pha rol}.
22 rdeb pa|for {sdeb pa}.
22 rgas|rga ba old, ripe.
22 rgya lab|talk, gossip.
22 rgyan byas|v. {rgyan}.
22 ri 'bog|spur, hillock.
22 ri skyegs|v. {skyegs}.
22 rkun nor|stolen goods.
22 rkyen pa|SANST barley.
22 rming|= {rmang} (Jä.).
22 rnga dbyug|drum-stick.
22 rnying|v. {rnying pa}.
22 rta zhun|a good horse.
22 rtsa mi|principal man.
22 sa 'ching|SANST lotus.
22 sa rlog|as met. = pig.
22 sbogs pa|v. {sbag pa}.
22 sgo chor|v. {sgo spe}.
22 shel ta|a kind of gum.
22 slab pa|for {slob pa}.
22 sngas pa|v. {snga ba}.
22 so thag|weaving linen.
22 sred po|a lover (Cs.).
22 sril|silk-worm (Sch.).
22 srul mo|SANST decayed.
22 star|for {sta re} q.v.
22 ston kha|= {ston}{ka}.
22 'thal ba|v. {thal ba}.
22 the khyim|v. {the se}.
22 thig pa|v. {thigs pa}.
22 ti la|‡ SANST sesamum.
22 tsa big|v. {tsha big}.
22 tshug sa|v. next para.
22 yeng ba|= {g.yeng ba}.
22 zangs dmar|copper-red.
23 bgro|(do) SANST a song.
23 blta bya|SANST visible.
23 bra'o|SANST buck-wheat.
23 brngad pa|v. {rnga ba}.
23 bsdams pa|v. {sdom pa}.
23 bsgar|pf. of {sgor ba}.
23 bsgyus pa|SANST muscle.
23 bshog pa|v. {gshog pa}.
23 btsas pa|v. {btsa' ba}.
23 'bu smug|v. {'bu dkar}.
23 bzang btson|v. {btson}.
23 ce cang|v. {ce spyang}.
23 cem tse|scissors (Jä.).
23 chab rtse|v. {chab ma}.
23 'chal mo|a whore (Jä.).
23 cha phra|SANST a miser.
23 char rdul|= {char zil}.
23 chibs dpon|chief groom.
23 chos ma|a Buddhist nun.
23 chu gang|full of water.
23 dgra rdel|(Rtsii. 51.).
23 dngul sked|silver-belt.
23 dngul skud|silver-wire.
23 dpal gtso|SANST bolder.
23 dpya ba|‡ = {'phya ba}.
23 du zhig|about how much?
23 gang zhig|SANST, which.
23 gdung ma|v. {gdung ba}.
23 gla lto|food and wages.
23 gnam gang|the new moon.
23 gnyen gshin|v. {gnyen}.
23 gshod pa|to comb (Cs.).
23 gsol lcog|dining table.
23 gtan pa|SANST door-bar.
23 gu ti|in W. deaf (Jä.).
23 gyung ro|v. {gyong ra}.
23 gzhil|a form of {bcil}.
23 'jag skya|v. {'jag ma}.
23 kA ta ka|fish (Schtr.).
23 ka To ra|v. {ka to ra}.
23 kha bshad|talk, gossip.
23 kha grangs|enumeration.
23 kha 'jal ba|to measure.
23 khrag ro|clotted blood.
23 khro mon|prison (Sch.).
23 khyi shig|SANST a flea.
23 lcung mo|thimble (Jä.).
23 lha 'dab|= {klu shing}.
23 ljang gu|green (light).
23 lnga po|SANST the five.
23 me slang|= {me gzhong}.
23 mgo skyes|v. {mgo} III.
23 mi lag|a servant (Jä.).
23 mkhar thog|n. of Tibet.
23 mthud pa|v. {'thud pa}.
23 myangs|SANST [united]S.
23 nags kyi hir|wild-boar.
23 nag tshig|a point, dot.
23 ngal 'tsho|refreshment.
23 ngang mo|SANST a goose.
23 nor sbyin|SANST Kuvera.
23 nus byed|SANST [able]S.
23 nya dos|a load of fish.
23 nye rigs|near relation.
23 nyol|imp. of {nyal ba}.
23 pa ta|W. a cross (Jä.).
23 pha li|shield, buckler.
23 rdu ba|a thistle (Cs.).
23 rgyor ba|SANST to kill.
23 ri stong|v. {stong pa}.
23 rnam 'joms|bashfulness.
23 rngu|= {zug rngu} pain.
23 rnyil ba|v. {snyil ba}.
23 rtsas ma|v. {btsas ma}.
23 rtsibs logs|SANST side.
23 sa gtam pa|= {ri} hill.
23 sgam chung|a small box.
23 sgo 'byar|v. {sgo spe}.
23 sgo skyor|v. {sgo spe}.
23 sgron dregs|lamp-black.
23 sha khra|SANST [bile]S.
23 sko sko|SANST the chin.
23 snga har|a kind of tea.
23 sngon tshe|olden times.
23 so 'ching|= {mchu} lip.
23 srag pa|SANST (Zam. 6).
23 ta la'i 'dab|palm leaf.
23 ta zung|SANST a flower.
23 thags ra|weaver's yard.
23 tha pag|v. {thar dpag}.
23 tsha rag|= {tsha drag}.
23 yid bsam|= {yid bzhin}.
23 zil pa nag po|dew-drop.
23 zol tsho|v. {'dzol ba}.
24 'bal 'bol|shaggy (Sch.).
24 bder|abbr. of {bde bar}.
24 bgor|supine of {bgo ba}.
24 bkrus pa|pf. of {khrus}.
24 brag rtsang|rock-lizard.
24 brgyad bcu|SANST eighty.
24 brnyang ba|= {'khru ba}.
24 'bru tsha|v. {bru tsha}.
24 bsgres pa|SANST changed.
24 bskyod nas|= {spos nas}.
24 bsnang ba|v. {rnang ba}.
24 bsu sman|clyster (Sch.).
24 btsir ba|v. {'tshir ba}.
24 byugs|pf. of {'byug pa}.
24 ca ri|in W. a bug (Jä.).
24 chag shing|v. {chag pa}.
24 changs pa|v. {chang bu}.
24 chibs lcag|resp. a whip.
24 chos 'khor|prayer-wheel.
24 chos skad|book language.
24 chu 'khyil|puddle, pool.
24 chu mda'|a jet of water.
24 ci zer|what does he say?
24 dar sga|the walnut-tree.
24 dbyig gu|SANST hiccough.
24 'debs|a puncheon (tool).
24 de zug|= {de tsug} in W.
24 dkar mdzod|a dispensary.
24 'dod dbang|= met. a dog.
24 dpa' byed|SANST [hero]S.
24 dpa' shod|= {dpag shod}.
24 'drongs pa|= {'dren pa}.
24 'dus|SANST [aggregate]S.
24 gcam yas|n. of a number.
24 gcong zhi|v. {cong zhi}.
24 gnas tshang|v. {gnas} 1.
24 gnyid rdol|somnambulism.
24 grogs ngan|a bad friend.
24 gsum zur|three-cornered.
24 gyong ru ba|SANST rough.
24 gzhun|fut. of {'jun pa}.
24 hrab hrib|for {rab rib}.
24 'jang so|= {sa mtshams}.
24 ji bzhin du|accordingly.
24 ji bzhin|how, like what?
24 ju shes|a kind of satin.
24 ka'u|water-melon (Sch.).
24 keng rus|SANST skeleton.
24 kha gzar|spoon or ladle.
24 kha phog|verbal reproof.
24 kha phyi|the outer edge.
24 khi|numerical figure 32.
24 kho mo|I; we (feminine).
24 khur ba|v. {khur tshos}.
24 'khyam khyi|a stray dog.
24 khyim so|SANST homesick.
24 khyi tshang|a dog-house.
24 ko ma|a bird (Vai. so.).
24 lan bon|+\n= {lan slon}.
24 lcags dmar|SANST copper.
24 lcags skam|iron pincers.
24 lhag gis|= {lhang nger}.
24 lhung|pf. of {ltung ba}.
24 ljang dmar|greenish-red.
24 ltongs|summit (Jä.) (?).
24 ma rgad|‡ SANST emerald.
24 mchin nad|liver disease.
24 mgo mo g.yog|head-cover.
24 mgo 'thom pa|confounded.
24 mi rdul|as met. = blood.
24 mi tri|love, friendship.
24 mkhar gsil|metal cymbal.
24 mul thug|the fist (Jä.).
24 nam phugs|SANST [time]S.
24 ne'u ljang|= {ne gsing}.
24 ngan rog|= {ngan rnyed}.
24 nyams smad pa|SANST, id.
24 nye dag|relations (Cs.).
24 nyer dga'|SANST delight.
24 nyung rum|v. {nyug rum}.
24 o Di yan|‡ v. {o rgyan}.
24 'og rdo|an anvil (Sch.).
24 pho btsog|or {btsog pa}.
24 phol ba|+\n= {rtogs pa}.
24 phung ba|v. {'phung ba}.
24 rab rgyags|= {rab myas}.
24 rdongs pa|v. {sdong ba}.
24 regs pa|+\n= {bregs pa}.
24 rgo|sometimes for {sgo}.
24 rgyab gnon|confirmation.
24 rgya lcog|Chinese table.
24 rgya shog|Chinese paper.
24 rjes su|adv. afterwards.
24 rnam 'jig|SANST sadness.
24 rnga dpon|chief drummer.
24 rta bon pa|SANST a mare.
24 ru po|= ram in W. (Jä.).
24 sed|a file, rasp. (Jä.).
24 segs can|SANST gravelly.
24 skyar leb|the sheldrake.
24 sngo ljang|bluish-green.
24 sngon bzhin|as formerly.
24 sngo yas|n. of a number.
24 sog 'jog|hoarding money.
24 stod glu|hymn of praise.
24 stod thung|a short coat.
24 sun khyud|SANST scandal.
24 thig mkhan|SANST sawyer.
24 tshangs ma|SANST, SANST.
24 tshir ba|v. {'tshir ba}.
24 yang dag gnas|stability.
24 yang slob|pupil's pupil.
24 za 'khrug|= {za 'phrug}.
24 zhal chad|v. {kha chad}.
25 a lung|= {a long} a ring.
25 bgom bya|SANST way; road.
25 bkog pa|pf. of {'gog pa}.
25 'bog chol|v. {sbug chol}.
25 bos|v. {'bod pa} to call.
25 brngul|pf. of {rngul ba}.
25 bstang ba|v. {stongs pa}.
25 bstir|supine of {sti ba}.
25 btsol ba|pf. {'tshol ba}.
25 bu smad|family, children.
25 bya ma leb|any butterfly.
25 bya snying|= {bya rmyen}.
25 byi sdings|whole, entire.
25 bza' shug|= {khyim shug}.
25 bzhong|used for {gzhong}.
25 cangs po|clever, skilful.
25 chang bsnyal|intoxicated.
25 cha tsam|v. {cha snyoms}.
25 cha tshad|v. {chag chad}.
25 'chi med bu mo|a goddess.
25 'chi nad|a fatal disease.
25 'chi rtags|sign of death.
25 chos stegs|= {chos khri}.
25 chu skya|= {dar ba} whey.
25 chu srib|SANST gonorrhœa.
25 dgun 'brum|winter grapes.
25 dgung mkha'|midnight sky.
25 dgye bo|SANST a bent man.
25 dong ste|+\n= {song ste}.
25 dong ze|wasp, acc. to Cs.
25 dpal stug|SANST majestic.
25 dpung gnon|reinforcement.
25 dpyo ba|to change (Sch.).
25 'drobs pa|SANST straight.
25 ga gzi|squinting (in W.).
25 ga log|(in W.) squinting.
25 gang por|in a lump, mass.
25 gcin mang|SANST diabetes.
25 gcug|difference, discord.
25 gi lin|a fabulous animal.
25 glo dong|wind-pipe (Cs.).
25 glu sgra|time in singing.
25 'gram dkyus|= {'gram pa}.
25 gser kha|SANST gold mine.
25 gu yu|SANST quick-silver.
25 gzeg mo byi|the hedgehog.
25 gzher pa|+\n= {bsten pa}.
25 gzung gzer|peg on a wall.
25 han hon|v. {ha na ho ne}.
25 ja mchod|libation of tea.
25 kan ma|the middle finger.
25 keg ma|= {kag ma} (Lex.).
25 ker gyis|suddenly (Sch.).
25 kha mthun|v. {kha 'cham}.
25 khang mig|a room; a cell.
25 kha sang|v. {kha rtsang}.
25 'khor zug|v. {'khor yug}.
25 khram ldan|SANST a tiger.
25 khril|(thi), v. {'khril}.
25 khro pa|in W. for {khro}.
25 khu ba ldan|v. {thar nu}.
25 khud ma|side; edge (Cs.).
25 khye bo|bu tsha children.
25 kye ga|n. for the magpie.
25 lding kha|v. {lting kha}.
25 ldo|the side of anything.
25 ljab ljab|a large number.
25 lji med|light, not heavy.
25 lte le|prob. the polecat.
25 ma kha|seems to be Mecca.
25 ma smin pa|v. {ljang pa}.
25 mdud pa snying pa|wealth.
25 mdung 'dzin|SANST hornet.
25 me na ya|‡ prob. Mithila.
25 mig 'ben|a target (Yig.).
25 mi lhung|= blood (Moon.).
25 mngon phra|dissimulation.
25 mo khab|very fine needle.
25 mtshog pa|v. {'tshog pa}.
25 mu 'thud|= {rgyun 'thud}.
25 nang mig|room, apartment.
25 nged rang|I, or I myself.
25 nges pa can|real; actual.
25 ngo khral|SANST poll-tax.
25 ngos yangs|SANST breadth.
25 nya lhog|n. of a disease.
25 nyi yol|a screen, awning.
25 nyo ti|pear in Ld. (Jä.).
25 'ol yang|+\n= {dpe yang}.
25 'phan pa|+\n= {nyams pa}.
25 phar kha na|= {phar kan}.
25 pig mo|v. {pus mo} (Jä.).
25 ram gyis|+\n= {snam bum}.
25 ra mo sha|SANST a hornet.
25 rbad|SANST; v. {rbad pa}.
25 rdzang ba|v. {rdzong ba}.
25 rgyus pa|sinews; tendons.
25 ri sked|= {shel} crystal.
25 ri zhum|wild or hill-cat.
25 rje'u rigs|v. {rje rigs}.
25 rnga mkhan|mower; reaper.
25 rub sho|currant W. (Jä.).
25 sbub khong|a hollow ball.
25 sdug 'dre|a demon (Sch.).
25 sge'u chung|SANST garlic.
25 sge'u gsher|SANST ginger.
25 sgo tsam|a little (Sch.).
25 sgye sgur|crooked (Sch.).
25 sgyur bkod|strong advice.
25 shib pa|to whisper (Jä.).
25 skad po che|SANST rumour.
25 sma sa|SANST [suitable]S.
25 smyar ba|ƒ9-/-\n= {smar}.
25 snya nang|= {gnya' nang}.
25 snying khu|= {nying khu}.
25 the rang|v. {the'u rang}.
25 thugs nyid|= {sems nyid}.
25 thul le|(Ld.) impressive.
25 ti nag|heath-cock (Sch.).
25 'tsha' lu|v. {mtsha' lu}.
25 tshig ma|a sinew, tissue.
25 tshob|for {tshab} (Sch.).
25 yel 'phyos|= {zung 'jag}.
25 yid btags|for {yi dvags}.
25 yid yal|SANST [a house]S.
25 zi ru|col. for {gzer bu}.
26 a byag|name of a medicine.
26 a re mdzes|SANST how nice!
26 a shad|= {gtum mo} fierce.
26 aung gu|oil-lamp C. (Jä.).
26 a wa dhu ti|‡ air passage.
26 bcud sbyin|= {bcud 'dzin}.
26 bgyangs pa|v. {rgyong ba}.
26 bkon pa|pf. of {'khon pa}.
26 blo gel ba|to hope (Sch.).
26 blta ba'i ched|for seeing.
26 blus ma|anything ransomed.
26 bol po|SANST v. {'bol po}.
26 brnyad pa|for {bsnyad pa}.
26 bsgrags pa|sung; diffused.
26 btab pa|pf. of {'debs pa}.
26 btung snod|drinking glass.
26 bud dha|‡ = {sangs rgyas}.
26 bug zhol|v. {sbugs} (Jä.).
26 chab skya|= {dar ba} whey.
26 char dus|the rainy season.
26 che khyad|size, greatness.
26 chil sgrog|v. {chu gnyer}.
26 chos grags|*\nSANST (3 C).
26 chos rtol|*\n(Ta. 1, 216).
26 chu'i sa bon|v. {char pa}.
26 chu mthongs|= {nam mkha'}.
26 chung nyung|v. {khug rta}.
26 chu tshva|salt from water.
26 ci ste|but if; if however.
26 cung zad tsam|some little.
26 dag gu|= {phye ma} powder.
26 'dar 'dar|SANST trembling.
26 dgal ba|fut. of {'gel ba}.
26 dgum pa|fut. of {'gum pa}.
26 dpal khyad|= {dpal} (Jä.).
26 dron po|col. for {dro bo}.
26 du ba'i tog|SANST a comet.
26 dum bu gsum|v. {dur byid}.
26 er ka|C. v. {ar ka} (Jä.).
26 gcig min|SANST except one.
26 gcong med|without illness.
26 gnyen yig|friendly letter.
26 grags|SANST hope; contempt
26 'gran do|+\n= {'gran zla}.
