ka|1
kA ka|14?
kA khi la|14?
kA ta ka|14?
kA tya bu mo|14?
kA pa li|15
kA be ri|15?
kA tsi kA|15?
kA ri kA|15?
kA la ko|15?
kA la sngo bsang|15?
kA li|15?
kA sha|15?
ki|15?
ki kang|15?
ki ki|15?
ki gu|15?
ki rgyung|15?
ki ta ka|15?
ki ldir|15?
ki pa|15?
ki ma|16
ki tsi|16?
ki ri kan|16?
ki la ki la|16?
king ka ra|16?
king shu ka|16?
kim pa|16?
kim pa ka|16?
kim pa la|16?
ki'u|16?
kil|16?
kI ri ta ka|16?
kI sha'i 'dab|16?
ku|16?
ku ku|16?
ku ku sgrogs|16?
ku ku ra tsa|16?
ku kur ta pA dA|17
ku ke|17?
ku co|17?
ku cor|17?
ku ther|17?
ku deng nge|17?
ku Na la|17?
ku ba|17?
ku ba la me tog|17?
ku ba'i gzings|17?
ku be ra|17?
ku byi mang ke|17?
ku ma ra|17?
ku mud|17?
ku mud grogs|17?
ku mud dgra|17?
ku mud can|17?
ku mud gnyen|17?
ku mud ldan|17?
ku mud tshal|17?
ku mud lo ma|17?
ku dza|18
ku ya|18?
ku ra|18?
ku ra ba ka|18?
ku ra ra|18?
ku rang ga|18?
ku ru|18?
ku ru kul le|18?
ku ru pin da|18?
ku ru ban da|18?
ku re|18?
ku la|18?
ku la kA|18?
ku lan ta|18?
ku lA la|18?
ku lu ta|18?
ku sha|18?
ku sha na|19
ku sha ban d+ha|19?
ku sha ban dha|19?
ku sha la|19?
ku sha li|19?
ku sha'i grong khyer|19?
ku shu|19?
ku shu lu|19?
ku shu'i khams|19?
ku she sha ya|19?
ku sa ra|19?
ku sa li b+ha dra|19?
ku sa li bha dra|19?
ku su ma|19?
ku su li|19?
ku su lu pa|19?
ku se rdzong|20?
ku bswo|20?
ku hu|20?
ku hrang|20?
kug|20?
kug kug|20?
kug kug byed pa|20?
kug rtse|20?
kung ku na|20?
kung ku ma|20?
kunya dza ra|20?
kun|21
kun dkyil|21?
kun dkris|21?
kun bkram|21?
kun skye|21?
kun skyed byed|21?
kun skyo ba|21?
kun skyod|21?
kun skyob gling|21?
kun khebs|21?
kun khyab|21?
kun khyab dpal mo|21?
kun mkhyen|21?
kun mkhyen kun gzigs|21?
kun mkhyen klong chen|21?
kun mkhyen chos sku 'od zer|21?
kun mkhyen nyi ma'i gnyen|21?
kun mkhyen dbyig gnyen|21?
kun 'khor|21?
kun 'khyams|21?
kun 'khrugs|21?
kun 'khrul|21?
kun gyi mtha'|21?
kun gyi gnas|21?
kun gyi rtsa ba|21?
kun gyis bkur ba|22
kun gyis phyag byas|22?
kun grub|22?
kun gling|22?
kun dga'|22?
kun dga' rgyal mtshan dpal bzang po|22?
kun dga' snying po|22?
kun dga' nor|22?
kun dga' ba 'dzin pa|22?
kun dga' bo|22?
kun dga' 'bar|22?
kun dga' 'dzin pa|22?
kun dga' gzhon nu|22?
kun dga' ra ba|22?
kun dga'i dbang mo|22?
kun mgyogs|22?
kun 'gebs|22?
kun 'gog|22?
kun 'gro|22?
kun 'gro 'bad|22?
kun 'gro'i srol|22?
kun cings|22?
kun bcom|23
kun chub|23?
kun chos gtsang ba|23?
kun mchog ldan|23?
kun 'jug|23?
kun 'jug pa|23?
kun 'jug pho nya|23?
kun 'joms|23?
kun 'joms mchog|23?
kun snying|23?
kun ta|23?
kun tu|23?
kun tu bskyed|23?
kun tu 'khyams|23?
kun tu 'khrugs|23?
kun tu gas|23?
kun tu go ba|23?
kun tu dga' bar gyur ba'i gling|23?
kun tu 'gengs pa|23?
kun tu 'gyed pa|23?
kun tu 'gro|23?
kun tu rgyas par byed pa|24
kun tu bsgribs|24?
kun tu bcug pa|24?
kun tu chags pa|24?
kun tu 'jug pa sgrol|24?
kun tu 'jug byed|24?
kun tu 'jug bral|24?
kun tu bsten|24?
kun tu 'thor|24?
kun tu dor|24?
kun tu bde ba|24?
kun tu 'dres pa|24?
kun tu brdung ba|24?
kun tu gnas|24?
kun tu gnod par gyur pa|24?
kun tu snang ba|24?
kun tu spyad|24?
kun tu spyod pa|24?
kun tu spras|24?
kun tu sbyor ba|24?
kun tu mig ldan|24?
kun tu rmongs|25
kun tu rmongs byed kyi mda'|25?
kun tu 'dzin ma|25?
kun tu gzigs|25?
kun tu bzang po|25?
kun tu bzang mo|25?
kun tu 'ur 'ur|25?
kun tu 'o ma|25?
kun tu 'od|25?
kun tu rab tu 'khrugs|25?
kun tu rab tu 'gul|25?
kun tu rab tu chem chem|25?
kun tu rab tu g.yos|25?
kun tu rig|25?
kun tu ru|25?
kun tu gsal|25?
kun tu gsung|25?
kun tu gso|25?
kun gtum|25?
kun btus|25?
kun rtog|25?
kun brtags|26
kun brtags pa'i mtshan nyid|26?
kun brtan|26?
kun bsten|26?
kun thi ra|26?
kun mthong gi mtsho|26?
kun da|30
kun da byang sems|30?
kun dang 'khon pa|30?
kun dang mthun pa|30?
kun du ru|30?
kun du la|30?
kun dong|30?
kun don|30?
kun dril ba|30?
kun gdung|30?
kun bdag|30?
kun 'dar|30?
kun 'dren|30?
kun brdung|30?
kun nas|30?
kun nas dkrigs pa|30?
kun nas skye|30?
kun nas 'khums|30?
kun nas 'gegs|30?
kun nas 'gro|30?
kun nas rgod|30?
kun nas sgo'i le'u zhes pa'i mdo|30?
kun nas sgrib par byed|30?
kun nas nyon mongs pa|27
kun nas snyems|27?
kun nas btags pa|27?
kun nas btus pa|27?
kun nas 'dud pa|27?
kun nas ldang ba|27?
kun nas sdud pa|27?
kun nas snang ba|27?
kun nas 'phags pa|27?
kun nas bris|27?
kun nas blangs|27?
kun nas 'bar|27?
kun nas sbyor ba|27?
kun nas brtsegs pa|27?
kun nas mdzes|27?
kun nas bzang|27?
kun nas bzod pa|27?
kun nas yongs su bskor ba|27?
kun snang 'bar ba|27?
kun spangs|27?
kun spangs chen po|27?
kun spyad|27?
kun spyod ngan pa|28
kun spyod mtshungs ma|28?
kun phan bdud rtsi dbang po|28?
kun bor|28?
kun byed rgyal po|28?
kun 'byung|28?
kun sbyor|28?
kun mos dri bzang bzhon pa can|28?
kun rmongs|28?
kun 'dzin|28?
kun rdzob bden pa|28?
kun gzhi|28?
kun za me tog|28?
kun gzigs|28?
kun bzang|28?
kun bzang 'khor lo|28?
kun bzang gling|28?
kun bzang rnam gsum|28?
kun bzod|28?
kun rig|29
kun la|29?
kun la bkra shis dbang ldan ma|29?
kun la khyab byed ser po|29?
kun la 'jug|29?
kun la bde|29?
kun la phan|29?
kun la 'phrod|29?
kun la btses pa|29?
kun la reg|29?
kun las|29?
kun las btus pa|29?
kun shes pa|29?
kun shes pa'i sho gam pa|29?
kun bshad pa|29?
kun sems|29?
kun slong|29?
kun slong chen po|29?
kun gsal|29?
kun gsod|29?
kum pa|29?
kum po|29?
kum bi ra|29?
kum bha|29?
kum b+ha|29?
ku'i|29?
ku'i tsang|29?
ku'i shin|29?
kur ti|29?
kul kar|29?
ke|29?
ke ka|29?
ke kA pi no|29?
ke ke ru|29?
ke rgyung|29?
ke ta ka|29?
ke ta ra|31
ke tu|31?
ke ne'i bu|31?
ke byed|31?
ke rtse ba|31?
ke tshegs|31?
ke ya|31?
ke ru|31?
ke re|31?
ke la|31?
ke la ka|31?
ke la sha|31?
ke lan|31?
ke le|31?
ke sha|31?
ke sha ra|31?
ke shu ka|32
ke sa ra|32?
keg|32?
keg ma|32?
keng rus|32?
keng shu ka|32?
ke'u|32?
ke'u rtse|32?
ke'u tshang|32?
ke'u ri|32?
ke'u li|32?
ke'u le|32?
ke'u sha ya|32?
ker ko|32?
ker gyis|32?
ker ba|32?
ker langs|32?
ker leb sgur|32?
kel mag|32?
kai ne ya|32?
kai la sha|32?
ko|32
ko ka|34
ko ka li ka|34?
ko ki|34?
ko ki la|34?
ko ki lak+Sha|34?
ko ko|34?
ko kya|34?
ko krad|34?
ko sko|34?
ko khug|34?
ko khrol|34?
ko gru|34?
ko nyon tse|34?
ko tan|34?
ko tam pa|34?
ko tam pa'i ras|34?
ko tam bhag|34?
ko tra pa|34?
ko trog can|34?
ko btum|34?
ko tha|34?
ko thag|33
ko thal|35
ko thud|35?
ko thums|35?
ko 'thags|35?
ko dA la|35?
ko gdan|35?
ko mda'|35?
ko lding|35?
ko pang tse|35?
ko lpags|35?
ko lpags mkhan|35?
ko spyin|35?
ko phongs|35?
ko phor|35?
ko ba|35?
ko ba mkhan|35?
ko ba mnyed mkhan|35?
ko ba brag|35?
ko bi da ra|35?
ko bubs|35?
ko bo|35?
ko brag pa|35?
ko 'bugs|35?
ko 'bo|35?
ko sbrags|35?
ko ma|35?
ko tse|35?
ko tshal|35?
ko wags|35?
ko ra ba|35?
ko raN+Do|35?
ko rul|35?
ko re|35?
ko rlon gtums|35?
ko la|35?
ko la'i 'dab|35?
ko long|35?
ko sha lA|35?
ko sham pa|35?
ko sham bi|36
ko shi ka|36?
ko shi la|36?
ko sa la|36?
kog pa|36?
kog tse|36?
kong|36?
kong kun|36?
kong khru|36?
kong jo|36?
kong bu|37
kong mo|37?
kod|37?
kon pa|37?
koN+Di n+ya|37?
kob kob|37?
kom gdan|37?
kom pa|37?
kom po|37?
kom shing kong jo|37?
kor|37?
kor kor|37?
kor bzo|37?
kol|37?
kol ba'i lam|37?
kol sa|37?
kos ko|37?
kwa|37?
kwa ye|37?
kya la|37?
kya an|38
kyag|38?
kyag kyog|38?
kyang|38?
kyang kyong|38?
kyar kyor|38?
kyar po|38?
kyal|38?
kyal ka|38?
kyal kyol|38?
kyal pa|38?
kyi|38?
kyi glong|39
kyi lce|39?
kyi bun|39?
kyi ling chu rta sngon po|39?
kyi hud|39?
kyig rtse|39?
kying|39?
kying ser rlung|39?
kyin|39?
kyir|39?
kyis|39?
kyu|39?
kyur kyur|39?
kye|40
kye kye|40?
kye ga|40?
kye rdo rje|40?
kye phang pa|40?
kye ma|40?
kye re|40?
kye hud|40?
kyo ba|40?
kyo rang|40?
kyog|40?
kyog po|40?
kyong|40?
kyom|40?
kyom kyom|40?
kyom pa|40?
kyor|40?
kyol|40?
kra|40?
kra ma shar Sha|40?
krag|40?
krang nge|41
krang nang|41?
krad 'khor|41?
krad rgyun|41?
krad pa|41?
kran ma|41?
krab krab|41?
kram|41?
kri ka ru ka|41?
kri kri|41?
kri kha|41?
kri ba sha'i gdong|41?
kri mi|41?
kri ya|41?
kri shong ba ro|41?
krig krig|41?
krig gi|41?
krig chags med pa|41?
kring kang|42
kring bag sgyo|42?
krin nad|42?
kru kru|42?
kru kru tris|42?
kru ra|42?
krung krung sgra can|42?
krung thang|42?
krum pa|42?
krums|42?
kre nyag|42?
kre nag|42?
kre pa|42?
kre bo|42?
kro dha na|42?
kro d+ha na|42?
krog krog|42?
krong|42?
krong krong|42?
krong rtse|43
kron kron|43?
kla klo|43?
kla klo kha|43?
kla klo rnams|43?
kla klo'i kha|43?
kla klo'i tig ta|43?
kla klo'i spos|43?
kla klo'i 'phel|43?
kla rtsi|43?
klag cor|43?
klag pa|43?
klags|43?
klad|43?
klad rgya|43?
klad chung|43?
klad tho|43?
klad don|43?
klad pa|43?
klad pa 'gems pa|43?
klad bzo|43?
klan ka|44
klan pa|44?
klan bya|44?
klam pa|44?
klal ba|44?
klas|44?
kling ma|44?
klu|45
klu khang|45?
klu glang nag po ba ru can|45?
klu rgyal|45?
klu rgyal dkar po dung skyong|45?
klu rgyal mtha' yas|45?
klu rgyal rigs lnga|45?
klu sgrub|45?
klu chen brgyad|45?
klu 'jog po|45?
klu thebs|45?
klu mthar byed|45?
klu dug|45?
klu dug can|45?
klu gdon 'joms byed|45?
klu bdud rdo rje|45?
klu mdud|45?
klu ldog|45?
klu sdings|45?
klu nad|45?
klu gnas|46
klu bod|46?
klu byang|46?
klu dbang gi rgyal po|46?
klu 'bum|46?
klu 'bum khra bo|46?
klu mes|46?
klu mo|46?
klu mo mu tig nu zho can|46?
klu sman|46?
klu gzugs|46?
klu yi skad|46?
klu yi 'khri shing|46?
klu yi lce|46?
klu yi gzhi|46?
klu shing|47
klu gshed gsum|47?
klung|47?
klung rgyun|47?
klung sgog|47?
klung rta|47?
klung phyugs|47?
klung 'bab pa|47?
klung ma|47?
klung tshag|47?
klung shod|47?
klung shos|47?
klungs|48
klub pa|48?
klu'i skad|48?
klu'i grong khyer|48?
klu'i 'jig rten|48?
klu'i dug bcom|48?
klu'i gdengs ka|48?
klu'i sde|48?
klu'i gnod pa|48?
klu'i byang chub|48?
klu'i sbrul|48?
klu'i yi ge|48?
klu'i bshes gnyen|48?
klus bod|48?
klus byang chub|48?
kles|48?
klog thob|48?
klog pa|48?
klong|48?
klong chen|48?
klong sde|48?
klong ma dkyel|48?
klongs pa|48?
klongs rag|48?
klon pa|49
k+Sha|49?
k+Sha ya|49?
dkag ba|49?
dkan|49?
dka'|50
dka' 'grel|50?
dka' bcu|50?
dka' thub|50?
dka' thub kyi gnas|50?
dka' thub dgra|50?
dka' thub can|50?
dka' thub spyod pa|50?
dka' zlog bla ma|50?
dka' zlog ma|50?
dka' las che ba|50?
dkar|50
dkar skya|50?
dkar khang|50?
dkar khung|51
dkar khyug|51?
dkar khrigs|51?
dkar gong|51?
dkar rgya|51?
dkar rgyan|51?
dkar bcud gsum|51?
dkar chag|51?
dkar chab chab|51?
dkar chung lha khang|51?
dkar nye|51?
dkar sting cha ngam|51?
dkar thag|51?
dkar dro|51?
dkar ldan|51?
dkar po|51?
dkar po chig thub|51?
dkar po rnam par 'char pa|51?
dkar po 'bar|51?
dkar po sbal rgyab|51?
dkar po'i bskal pa|51?
dkar phigs|51?
dkar phibs|51?
dkar phyogs|52
dkar ba|52?
dkar mi byed pa|52?
dkar min|52?
dkar min bu|52?
dkar me|52?
dkar med ma|52?
dkar mo|52?
dkar dmar|52?
dkar rtsi|52?
dkar rtsis|52?
dkar rtser ba|52?
dkar mdzod|52?
dkar 'dzin|52?
dkar 'od|52?
dkar yol|52?
dkar g.yeng|52?
dkar sangs|52?
dkar seng nge ba|52?
dkar sob yang ba'i 'od can|52?
dkar gsal|52?
dkar gsum|52?
dku|52?
dku mnye|52?
dku lto|53
dku ste|53?
dku ba|53?
dkon|53
dkon mchog|54
dkon mchog kun 'dus|54?
dkon mchog gi mchod pa|54?
dkon mchog 'byung gnas|54?
dkon mchog brtsegs pa|54?
dkon mchog gsum|54?
dkon mchog gsum gyi 'bangs|54?
dkon gnyer|54?
dkon po|54?
dkon bu|55
dkor|55?
dkor bdag|55?
dkor nor|55?
dkor pa|55?
dkor bla|55?
dkor ma 'bags|55?
dkor mdzod|55?
dkor rdzogs|55?
dkor zas|55?
dkor rigs|55?
dkol pa|55?
dkos thag|55?
dkyar|55?
dkyil|56
dkyil dkrungs|56?
dkyil 'khor|56?
dkyil 'khor gru bzhi pa|56?
dkyil 'khor brgyad pa'i mdo|56?
dkyil 'khor can|56?
dkyil 'khor lding|56?
dkyil 'khor gsum|56?
dkyu rta|57
dkyu pa|57?
dkyu ba|57?
dkyu sa|57?
dkyud pa|57?
dkyus|57?
dkyus dkar|57?
dkyus ja|57?
dkyus ma|57?
dkyus mo|57?
dkyus tshad|57?
dkyus ring|57?
dkyel|57?
dkyel po che|57?
dkyor 'byin|57?
dkram ko 'thug pa|57?
dkri|58
dkri ba|58?
dkrig|58?
dkrigs|58?
dkris gyur|58?
dkris pa|58?
dkris phrag|58?
dkru ba|58?
dkrug pa|58?
dkrugs pa|58?
dkrugs pa po|58?
dkrugs yig|58?
dkrum pa|58?
dkre|59
dkrog pa|59?
dkrogs skyes|59?
dkrogs pa po|59?
dkrogs ma|59?
dkrong bskyed|59?
dkrol|59?
bkag|59?
bkag skor med pa|59?
bkag cha byed pa|59?
bkag sdom|59?
bkag mo khegs pa|59?
bkang|59?
bkad|59?
bkad nas|59?
bkad sa|59?
bkan pa|60
bkab|60?
bkab pa|60?
bkam pa|60?
bka'|60
bka' bkod pa|60?
bka' bkyon|60?
bka' bkrol|60?
bka' skor med pa|61
bka' khol|61?
bka' khyab|61?
bka' khrims|61?
bka' khrims pa|61?
bka' 'khor|61?
bka' gros|61?
bka' gros pa|61?
bka' glegs|61?
bka' bgro ba|61?
bka' 'gyur|61?
bka' 'grol ba|61?
bka' rgya bcug pa|61?
bka' rgya ma|61?
bka' rgyud|62
bka' rgyud bstan pa'i gsal byed|62?
bka' rgyud rnam rgyal|62?
bka' sgyur|62?
bka' sgyur btang ba|62?
bka' sgrog pa|62?
bka' bsgo|62?
bka' bsgos|62?
bka' mngags pa|62?
bka' gcog pa|62?
bka' bcu|62?
bka' bcos|62?
bka' chems|62?
bka' mchid|62?
bka' nyan|63
bka' nyan pa|63?
bka' gnyan|63?
bka' gnyan brjid|63?
bka' gnyan po|63?
bka' btags|63?
bka' rtags|63?
bka' stod|63?
bka' thang|63?
bka' tham|63?
bka' drag po phab pa|63?
bka' drin|63?
bka' drin can|63?
bka' drin che|63?
bka' drin che zhus pa|63?
bka' drin rjes su dran pa|63?
bka' drin snying dpyangs|63?
bka' drin mdzad pa|63?
bka' drin gsum ldan|63?
bka' drin gsol ba|63?
bka' drung|63?
bka' gdams|63?
bka' gdams pa|63?
bka' gdams pho brang|64
bka' mda'|64?
bka' 'dus chos kyi rgya mtsho|64?
bka' 'dogs pa|64?
bka' 'doms|64?
bka' sdod|64?
bka' bsdu ba|64?
bka' gnang ba|64?
bka' gnam|64?
bka' phebs|64?
bka' phrin|64?
bka' 'phrin|64?
bka' babs|64?
bka' babs bdun|64?
bka' babs bzhi|64?
bka' bam|64?
bka' bris|64?
bka' blo bde ba|64?
bka' blon|64?
bka' blon drung 'khor|64?
bka' blon bzhi|64?
bka' blon gsum|64?
bka' dbang|65
bka' 'bab pa|65?
bka' 'bum|65?
bka' ma|65?
bka' mang thim pa|65?
bka' gtsang ma|65?
bka' stsol ba|65?
bka' tshogs|65?
bka' 'dzin|65?
bka' bzhin byed pa|66
bka' rab 'byams pa|66?
bka' rams pa|66?
bka' la rtsi ba|66?
bka' lung|66?
bka' log|66?
bka' shag|66?
bka' shog|66?
bka' gsal|66?
bka'i rnga bo che|66?
bka'i cod pan|66?
bka'i mdun blon|66?
bkar|66?
bkar ba|66?
bkal thags|67
bkal ba|67?
bkas|67?
bkas pa|67?
bku ba|67?
bkug pa|67?
bkum pa|67?
bkur sti|67?
bkur ba|67?
bkur bar byed pa|67?
bkur tshig|67?
bkur 'os|67?
bkog pa|67?
bkong ba|67?
bkod|67?
bkod blta|67?
bkod 'doms|67?
bkod ldan|67?
bkod pa|68
bkod pa mtha' yas|68?
bkod pa'i gtsug gtor|68?
bkon pa|68?
bkor 'dre|68?
bkol spyod|68?
bkol ba|68?
bkyal ba|68?
bkyig pa|68?
bkye ba|68?
bkyed pa|68?
bkyon pa|68?
bkra ba|68?
bkra ba'i skad 'byin|68?
bkra byed|68?
bkra zhing dmar|68?
bkra lam me|68?
bkra shis|69
bkra shis gling|69?
bkra shis sgo mang|69?
bkra shis brgyad pa'i mdo|69?
bkra shis can|69?
bkra shis chos rdzong|69?
bkra shis brjod pa|69?
bkra shis rtags brgyad|69?
bkra shis rtags can|69?
bkra shis dung|69?
bkra shis ldan|70
bkra shis pa'i rdzas|70?
bkra shis pa'i yi ge|70?
bkra shis par gyur cig|70?
bkra shis byed ma|70?
bkra shis bla ma|70?
bkra shis rtse|70?
bkra shis brtsegs|70?
bkra shis brtsegs pa'i mdo|70?
bkra shis rdzas brgyad|70?
bkra shis rdzogs pa|70?
bkra shis lhun po|70?
bkrag|70?
bkrag pa|70?
bkrag med|70?
bkrab pa|70?
bkram pa|70?
bkral ba|70?
bkras|70?
bkras pa|70?
bkras lung|70?
bkras lhun|70?
bkri ba|71
bkrid drang|71?
bkris|71?
bkris pa|71?
bkru|71?
bkrug pa|71?
bkrus pa|71?
bkre|71?
bkre hor|71?
bkren pa|71?
bkren po|71?
bkres skom|71?
bkres nas|71?
bkres pa|71?
bkrongs pa|71?
bkrol ba|71?
bkros|71?
bklags pa|71?
rka|72
rka chu'i lha khang|72?
rkang|72?
rkang kyog|72?
rkang kri|72?
rkang bkod|72?
rkang bkra ma|72?
rkang skyes|72?
rkang khra|72?
rkang khrab|72?
rkang khri|72?
rkang 'khum|72?
rkang 'khor|72?
rkang gos|72?
rkang gling|72?
rkang mgo|73
rkang mgyogs|73?
rkang 'gro|73?
rkang 'gros|73?
rkang rgyu|73?
rkang brgya|73?
rkang brgyad pa|73?
rkang ngar|73?
rkang gcig pa|73?
rkang rjes|73?
rkang gnyis pa|73?
rkang btub|73?
rkang rten|73?
rkang stegs|73?
rkang steng bu|73?
rkang sten bu|73?
rkang thang|73?
rkang thang pa|73?
rkang mthil|73?
rkang 'thung|73?
rkang drug pa|73?
rkang drug tshes|74
rkang gdub|74?
rkang 'dren|74?
rkang ldan|74?
rkang snam|74?
rkang pa|74?
rkang pa brkyangs|74?
rkang pa 'theng po|74?
rkang pa gsum ldan|74?
rkang pa'i stabs sgyur|74?
rkang pa'i 'du byed|74?
rkang pa'i rtsa ba|74?
rkang pa'i mtshon cha can|74?
rkang phyin|74?
rkang bol|74?
rkang bral|74?
rkang 'bam|74?
rkang 'bros|74?
rkang sbas|74?
rkang ma rkang chig|74?
rkang mar|74?
rkang mig|74?
rkang dmag|75
rkang rtsa|75?
rkang tshugs|75?
rkang mdzer|75?
rkang mdzes|75?
rkang bzhi|75?
rkang yang|75?
rkang ring|75?
rkang lam|75?
rkang shar pa|75?
rkang shing|75?
rkang shu|75?
rkang shubs|75?
rkang sor|75?
rkan|75?
rkan phug|75?
rkan mar|75?
rkam pa|75?
rku ba|75?
rku bar bgrang ba|75?
rku bya|75?
rku sems|75?
rkun sgyig|75?
rkun can|75?
rkun bcom|75?
rkun thabs su blang ba|75?
rkun nor|75?
rkun po|75?
rkun pos bsgo ba|75?
rkun dpon|75?
rkun ma|75?
rkun rdzas|75?
rkun srung|75?
rkub|76
rkub skyod par|76?
rkub rgyag|76?
rkub stegs|76?
rkub tshos|76?
rkur bcug pa|76?
rke ba|77
rked rgyun|77?
rked 'chu|77?
rked mdud|77?
rked nad can ma|77?
rked pa|77?
rked pa gyong pa|77?
rked pa rgyur ba|77?
rked pa chag|77?
rked pa phra|77?
rked 'bras|77?
rked med ma|77?
rked so|77?
rko ba|77?
rko byed|77?
rko ma|77?
rkog ma|77?
rkong pa|77?
rkong po 'bras chen|77?
rkod pa|77?
rkon pa|78
rkos mkhan|78?
rkyag pa|78?
rkyang|78?
rkyang chu|78?
rkyang thag|78?
rkyang pa|78?
rkyang phyag|78?
rkyang 'phyes|78?
rkyang ma|78?
rkyan|79
rkyan bu|79?
rkyal ka|79?
rkyal pa|79?
rkyal ba|79?
rkyal bu|79?
rkyal byed pa|79?
rkyen|80
rkyen gyis|80?
rkyen gcig rtogs|80?
rkyen chags 'byung ba|80?
rkyen rtogs|80?
rkyen thub|80?
rkyen pa|80?
rkyen rtsi|80?
rkyong ba|80?
rkyong tse|80?
lkug|80?
lkugs pa|80?
lkog|81
lkog dkar|81?
lkog gyur|81?
lkog glu|81?
lkog chad|81?
lkog chos byed pa|81?
lkog rnyan|81?
lkog tu|81?
lkog tu brkus|81?
lkog mdud|81?
lkog 'dun|81?
lkog na ma|81?
lkog nor|81?
lkog phra|81?
lkog ma|81?
lkog zan za ba|81?
lkog zas za ba|81?
lkog la brang 'byar gyi rgyal khams|81?
lkog shal|81?
lkog sog|81?
lkob|81?
lkol mdud|81?
ska|81?
ska cig|82
ska cog|82?
ska ba|82?
ska rags|82?
ska rags bzang po ma|82?
skag|82?
skag rtsis|82?
skag las skyes|82?
skang ba|82?
skang sha|82?
skad|83
skad kyi gdangs|83?
skad 'gag|83?
skad rgyal|83?
skad sgra che|83?
skad bsgyur pa|83?
skad ngar|83?
skad can|83?
skad cig|83?
skad cig glog 'od|83?
skad cig bcom|83?
skad cig 'dod|83?
skad cig 'dod ldan|83?
skad cig pa|83?
skad cig dbugs|83?
skad cha|83?
skad gnyis pa|83?
skad gnyis smra ba'i dbang po|83?
skad mnyen pa|83?
skad snyan bsgyur ba|83?
