buddhaH|43?
viSamAjIvA vateme sattvA anyonyaparivaJcanopasthitAH|52
atRptA vateme sattvA lAbhasatkArazlokopacaritAs tRptAH sma iti pratijAnante|52
nityAbhiratA vateme sattvA ekAntakliSTA duHkhabhAjane gRhAvAse|52
kAraNopagAH punaH sarvadharmA vidhApanapratyupasthAnalakSaNAH|52
idaM punar agram asaGga jJAnam utsRjya viziSTaparinirvANatAm sattvA hInayAnaM prArthayante yad idam zrAvakapratyekabuddhayAnaM tebhya uttaramatiM rocayisyAmItI yad idaM buddhajJAnAdhyAlambanatAyai iti tathAgatasya sattveSu mahAkaruNopadyate|52
trINyAvenikAni smRtyupasthAnAni nAmAni|52
zuzrUSamANeSu samacittatA|52
azuzrUSamANeSu samacittatA|52
zuzrUSamANAzuzrUSamANeSu samacittatA|53
catvAry arakSyANi|53
parizuddhakAyasamudAcAras tathAgataH. nAsti tathAgatasyAparizuddhakAyasamudAcAratA|53
parizuddhavAksamudAcAras tathAgataH. nAsti tathAgatasyAparizuddhavAksamudAcAratA|53
parizuddhamanaHsamudAcAras tathAgataH. nAsti tathAgatasyAparizuddhamanaHsamudAcaratA|53
parizuddhajIvas tathAgataH. nAsti tathAgatasyAparizuddhajIvatA|53
catvAri pratisaMvidaH|53
dharmapratisaMvit|53
arthapratisaMvit|53
niruktipratisaMvit|53
pratibhAnapratisaMvit|54
SaDabhijJAnAmAni|54
divyaM cakSuH|54
divyaM zrotraM|54
[a]paracittajJAnam|54
[b]cetaHparyAyajJAnaM|54
pUrvanivAsAnusmRtijJAnam|54
RddhividhijJAnam|54
AzravakSayajJAnam|54
abhijJAkarmANi|54
yathA samAhite citte svIya Asane ऽntarhitaH|54
vihAyasAbhyudgamya caturvidham IryApathaM kalpayati|54
uparimaH kAyaH prajvalati|54
adhaHkAyAc chItalA vAridhArAH syandante|54
anekavidham RddhiviSayaM pratyanubhavati|54
eko bhUtvA bahudhA bhavati|54
bahudhA bhUtvaiko bhavati|54
Avir bhavati tirobhAvam api pratyanubhavati|55
tiraH kuDyam tiraH prAkAram|55
parvatam apy asajjamAno gacchati|55
AkAze vikramate, tadyathA paksI zakuniH|55
pRthivyAm unmajjananimajjanaM karoti, tadyathApi nAmodake|55
udake ऽpy abhidyamAno gacchati tad yathApi nAma mahApRthivyAm|55
dhUmayaty api prajvalaty api tad yathApI nAma mahAn agniskandhaH|55
svakAyAd api mahAvAridhArA utsRjati tad yathApi nAma mahAmeghaH|55
yAbhir vAridhArAbhir ayaM trisAhasramahAsAhRsro lokadhAturAdIptah pradiptah saMprajvalito ऽgninA ekajvalIbhuto nirvApyate|55
imAvapi candrasUryau evammaharddhikau evaM mahAnubhAvau evaM mahaujaskau pANinA parAmRSati parimArjayati|55
yAvad brahmalokAd api sattvAn kAyena vaze vartayati|55
sAkAram soddezaM sanidAnaM pUrvanivAsam anusmarati sma|56
jAtismaraH amutrAham Asam evaM nAmA evaM jAtIH evaM gotraH evam AhAraH evaM sukhaduHkhapratisaMvedI evaM cirasthitikaH evaM AyuSparyantaH tataz cyuto ऽmutropapannaH tataz cyuta ihApy upapannaH|56
trINi prAtihAryANi|56
RddhiprAtihAryam|56
AdezanAprAtihAryam|56
anuzAsanIprAtihAryam|56
dvAtriMzanmahApuruSalakSaNAni|56
uSNISaziraskatA|56
pradakSiNAvartakezaH|56
samalalATaH|56
urNAkezaH|56
abhinIlanetragopakSmA|56
catvAriMzaddantaH|56
samadantaH|56
aviraladantaH|57
suzukladantaH|57
rasarasAgratA|57
siMhahanuH|57
prabhUtatanujihvaH|57
brahmasvaraH|57
susaMvRtaskandhaH|57
saptosadaH|57
citAntarAMsaH|57
sUkSmasuvarNacchaviH|57
sthitAnavanatapralambabAhutA|57
simhapUrvArdhakAyaH|57
nyogrodhaparimaNDalaH|57
ekaikaromapradakSiNAvartaH|57
UrdhvagaromaH|57
kozopagatavastiguhyaH|57
suvartitoruH|57
utsaGgapAdaH|57
mRdutaruNahastapAdatalaH|57
jAlAvanaddhahastapAdaH|57
dIrghAGguliH|58
cakrAGkitahastapAdaH|58
supratiSThitapAdaH|58
AyatapAdapArSNiH|58
aineyajaGghaH|58
azItyanuvyaJjanAni|58
AtAmranakhaH|58
snigdhanakhaH|58
tuGganakhaH|58
vRttAGguliH|58
anupUrvAGguliH|58
citAGguliH|58
nigUDhaziraH|58
nirgranthiziraH|58
gUDhagulphaH|58
aviSamapAdaH|58
siMhavikrAntagAmI|58
nAgavikrAntagAmI|58
haMsavikrAntagAmI|58
vRSabhavikrAntagAmI|58
pradakSiNAvartagAmI|58
cArugAmI|58
avakragAmI|59
vRttagAtraH|59
mRSTagAtraH|59
anupUrvagAtraH|59
zucigAtraH|59
mRdugAtraH|59
vizuddhagAtraH|59
paripUrNavyaJjanaH|59
pRthucArumaNDalagAtraH|59
samakramaH|59
sukumAragAtraH|59
adInagAtraH|59
unnatagAtraH|59
susaMhitagAtraH|59
suvibhaktAGgapratyaGgah|59
vitimiravizuddhAlokaH|59
vRttakukSiH|59
mRSTakukSiH|59
abhugnakukSiH|59
kSAmodaraH|59
gaMbhIranAbhiH|59
pradakSinAvartanAbhiH|59
samantaprAsAdikaH|59
zucisamAcAraH|59
vyapagatatilakakAlagAtraH|60
tUlasadrizasukumArapANiH|60
snigdhapANilekhaH|60
gaMbhIrapANilekhaH|60
AyatapANilekhaH|60
nAtyAyatavadanaH|60
bimbapratibimbadarzanavadanaH|60
mRdujihvaH|60
tanujihvaH|60
raktajihvaH|60
gajagarjitajImUtaghoSaH|60
madhuracArumaJjusvaraH|60
vRttadaMSTraH|60
tIkSNadaMSTraH|60
zukladaMSTraH|60
samadaMSTraH|60
anupUrvadaMSTraH|60
tuGganAsaH|60
zucinAsaH|60
vizuddhanetraH|60
vizAlanetraH|60
citrapakSmAH|60
sitAsitakamalazakalanayanaH|60
AyatabhrUH|60?
zlakSNabhrUH|61
samaromabhrUH|61
snigdhabhrUH|61?
pInAyatakarNaH|61
samakarNaH|61
anupahatakarNendriyaH|61?
supariNatalalATaH|61
pRthulalATaH|61
suparipUrNauttamAGgaH|61?
bhramarasadRzakezaH|61?
citakezaH|61?
zlakSNakezaH|61?
asaMlulitakezaH|61
aparuSakezaH|61
surabhikezaH|61?
zrIvatsasvastikanandyAvartalalitapANipAdaH|61
vardhamAnaH|61?
sUtrAntauddhRtAni tathAgatamAhAtmyanAmAni|61
suvizuddhabuddhiH|61
advayasamudAcAraH|62
alakSaNadharmaparAyaNaH|62
buddhavihAreNa viharan|62
sarvabuddhasamatAprAptiH|62
anAvaraNagatiM gataH|62
apratyudAvartyadharmaH|62
asaMhAryagocaraH|62
acintyavyavasthAnaH|62
tryadhvasamatAniryAtaH|62
sarvalokadhAtuprasRtakAyaH|62
sarvadharmaniHsaMzayajJAnaH|62
sarvacaryAsamanvAgatabuddhiH|62
niHkAMkSadharmajJAnaH|62
avikalpitazarIraH|62
sarvabodhisattvasampratIcchItajJanaH|62
advayabuddhavihAraparamapAramiprAptaH|62
asaMbhinnatathAgatavimokSajJAnaniSThAgataH|62
anantamadhyabuddhabhUmisamatAdhigataH|62
dharmadhAtuparyantaH|63
AkAzadhAtvparyavasAnaH|63
aparAntakoTiniSThaH|63
niSyandaH sa tathAgataH puNyAnAm|63
avipraNAzaH kuzalamUlAnAm|63
alaMkRtaH kSAntyA|63
AgamaH puNyanidhAnAnAm|63
citrito ऽnuvyaJjanaiH|63
kusumito lakSaNaiH|63
pratirUpo gocareNa|63
apratikUlo darzanena|63
abhiratiH zraddhAdhimuktAnAm|63
anabhibhUtaH prajJayA|63
anavamardanIyo balaiH|63
zAstA sarvasattvAnAm|63
pitA bodhisattvAnAm|63
rAjAryapudgalAnAm|63
sArthavAha AdikarmikANAm|63
aprameyo jJAnena|63
anantaH pratibhAnena|63
vizuddhA svareNa|63
AsvAdanIyo ghoSeNa|64
asecanako rUpeNa|64
apratisamaH kAyena|64
aliptaH kAmaiH|64
anupalipto rUpaiH|64
asaMsRSTo ऽrUpaiH|64
vipramuktaH skandhebhyaH|64
visaMyukto dhAtubhiH|64
saMvRta AyatanaiH|64
pracchinno granthaiH|64
vimuktaH paridAghaiH|64
parimuktas tRSNayA|64
oghAd uttIrNaH|64
paripUrNo jJAnena|64
pratiSThito ऽtInAnAgatapratyutpannAnAM buddhAnAM bhagavatAM jJAne|64?
apratiSThito nirvANe|64
sthito bhUtakoTyAM|64?
sthitaH sarvasattvAlokaniyAyAM bhUmau|64?
anantazisyagaNasuvinItaH|64
sarvasattvAzayasuvidhijJAH|64?
anAbhogabuddhakAryApratiprasrabdhaH|65
mukto muktaparivAraH|65
pAragataH|65
sthalagataH|65
tIrNaH|65
tArakaH|65
AzvastaH|65
zrotriyaH|65
bhinnaklezaH|65
vAhitapApadharmaH|65
vedakaH|65
vinIvaraNaH|65
viprasannamanAH|65
SaDaGgasamanvAgataH|65
anurodhavirodhavipramuktaH|65
praNatapratyekasatyaH|65
samutsRSTaiSaNaH|65
ekArakSaH|65
smRtidauvArikasaMpannaH|65
caturapAzrayaNaH|65
paryavasitArthaH|65
bhAvitAtmA|65
apagatazAkhApattrapalAzalaTikAtvagphalguH|66
anAvilasaMkalpaH|66
parizuddhakAyasaMskAraH|66
apramANagatabuddhamAhAtmyaH|66
apratiSThAdhyAnavartanI|66
kAlaprApto buddhotpAdaH|66
mArgapariNAyakaH|66
mArgajJaH|66
mArgavit|66
mArgadezikaH|66
mArgAkhyAyI|66
SaSTyaGgasarvanAmAni|66
snigdhA|66
mRdukA|66
manojJA|66
manoramA|66
zuddhA|66
vimalA|66
prabhAsvarA|67
valguH|67
zravaNIyAH|67
anelA|67
kalA|67
vinItA|67
akarkazA|67
aparuSA|67
suvinItA|67
karNasukhA|67
kAyaprahlAdanakarI|67
cittodvilyakarI|67
hRdayasaMtuSTikarI|67
prItisukhajananI|67
niSparidAhA|67
AjJeyA|67
vijJeyA|67
vispaSTA|67
premaNIyA|67
abhinandanIyA|67
AjJApanIyA|67
vijJApanIyA|67
yuktA|67
sahitA|67
punaruktadoSajahA|67
simhasvaravegA|68
nAgasvarazabdA|68
meghasvaraghoSA|68
nAgendrarutA|68
gandharvasaMgItighoSA|68
kalaviNkasvararutA|68
brahmasvararutAravitA|68
jIvaJjIvakasvararutAravitA|68
devendramadhuranirghoSA|68
dundubhisvarA|68
anunnatA|68
anavanatA|68
sarvazabdAnupraviSTA|68
apazabdavigatA|68
avikalA|68
alInA|68
adInA|68
pramuditA|68
prasRtA|68
sakhilA|68
saritA|68?
lalitA|68
sarvasvarapUraNI|68
sarvendriyasaMtoSaNI|69
aninditA|69
acaJcalA|69
acapalA|69
sarvapariSadanuravitA|69
sarvAkAravaropetA|69
zUraMgamo nAma samAdhiH|69
ratnamudrA nAma samAdhiH|69
sucandro nAma samAdhiH|69
siMhavikrIDito nAma samAdhiH|69
candradhvajaketur nAma samAdhiH|69
sarvadharmodgato nAma samAdhiH|69
sarvadharmamudrA nAma samAdhiH|69
vilokitamUrdho nAma samAdhiH|69
dharmadhAtuniyato nAma samAdhiH|69
niyatadhvajaketur nAma samAdhiH|69
vajro nAma samAdhiH|69
sarvadharmapravezamudrA nAma samAdhiH|70
samAdhirAjasupratiSThito nAma samAdhiH|70
razmipramukto nAma samAdhiH|70
balavyUho nAma samadhiH|70
samudgato nAma samAdhiH|70
niruktiniyatapravezo nAma samAdhiH|70
adhivacanapravezo nAma samAdhiH|70
digvilokito nAma samAdhiH|70
AdhAraNa mudrA nAma samAdhiH|70
asaMpramoSo nAma samAdhiH|70
sarvadharmasamavasaraNasAgaramudrA nAma samAdhiH|70
AkAzaspharaNo nAma samAdhiH|70
vajramaNDalo nAma samAdhiH|70
dhvajAgrakeyUro nAma samAdhiH|70
indraketur nAma samAdhiH|70
srotoऽ nugato nAma samAdhiH|70
siMhavijRmbhito nAma samAdhiH|70
vyatyasto nAma samAdhiH|70
raNajaho nAma samAdhiH|71
vairocano nAma samAdhiH|71
animiSo nAma samAdhiH|71
aniketasthito nAma samAdhiH|71
nizcitto nAma samAdhiH|71
vimalapradIpo nAma samAdhiH|71
anantaprabho nAma samAdhiH|71
prabhAkaro nAma samAdhiH|71
zuddhasAro nAma samAdhiH|71
vimalaprabho nAma samAdhiH|71
ratikaro nama samAdhiH|71
vidyutpradIpo nAma samAdhiH|71
akSayo nAma samAdhiH|71
ajeyo nAma samAdhiH|71
tejovatI nama samAdhiH|71
kSayApagato nAma samAdhiH|71
candravimalo nAma samAdhiH|71
sUryapradIpo nAma samAdhih|71
avaivarto nAma samAdhiH|71
aniJjyo nAma samAdhiH|71
prajJApradIpo nAma samAdhiH|72
zubhapratibhAso nAma samAdhiH|72
Alokakaro nAma samAdhiH|72
kAryakaro nAma samAdhiH|72
jJAnaketur nAma samAdhiH|72
vajropamo nAma samAdhiH|72
cittaSThito nAma samAdhiH|72
samantAloko nAma samAdhiH|72
supratiSThito nAma samAdhiH|72
ratnakoTir nAma samAdhiH|72
varadharmamudrA nAma samAdhiH|72
sarvadharmasamatA nAma samAdhiH|72
ratijaho nAma samAdhiH|72
dharmodgato nAma samAdhiH|72
vikiraNo nAma samAdhiH|72
sarvadharmapadaprabhedano nAma samAdhiH|72
samAkSarAvakaro nAma samAdhiH|72
akSarApagato nAma samAdhiH|72
ArambaNacchedano nAma samAdhiH|72
aprakAro nAma samAdhiH|72
avikAro nAma samAdhiH|73
nAmaniyatapravezo nAma samAdhiH|73
aniketacArI nAma samAdhiH|73
timirApagato nAma samAdhiH|73
cAritravatI nAma samAdhiH|73
acalo nAma samAdhiH|73
viSayatIrNo nAma samAdhiH|73
sarvaguNasaMcayagato nAma samAdhiH|73
sthitanizcitto nAma samAdhiH|73
zubhapuSpitazuddhir nAma samAdhiH|73
anantapratibhAno nAma samAdhiH|73
bodhyaGgavatI nAma samAdhiH|73
asamasamA nAma samAdhiH|73
sarvadharmAtikramaNo nAma samAdhiH|73
paricchedakaro nAma samAdhiH|73
vimativikiraNo nAma samAdhiH|73
niradhiSThAno nAma samAdhiH|73
ekavyUho nAma samAdhiH|73
AkArAbhinirhAro nAma samAdhiH|74
ekAkAro nAma samAdhiH|74
AkArAnapakAro nAma samAdhiH|74
nairvedhikasarvabhavatalopagato nAma samAdhiH|74
saMketarutapravezo nAma samAdhiH|74
nirghoSAkSaravImukto nAma samAdhiH|74
jvalanolko nAma samAdhiH|74
lakSaNaparizodhano nAma samAdhiH|74
anabhilakSito nAma samAdhiH|74
sarvAkAravaropeto nAma samAdhiH|74
akSayakaraNDo nAma samAdhiH|74
dhAraNImatir nAma samAdhiH|74
samyaktvamithyAtvasarvasaMgrasano nAma samAdhiH|74
sarvanirodhavirodhasaMprazamano nAma samAdhiH|74
sarvasukhaduHkhanirabhinandI nAma samAdhiH|74
anurodhApratirodho nAma samAdhiH|74
vimalaprabho nAma samAdhiH|75
sAravatI nAma samAdhiH|75
paripUrNacandravimalaprabho nAma samAdhiH|75
vidyutprabho nAma samAdhiH|75
mahAvyUho nAma samAdhiH|75
sarvAkAraprabhAkaro nAma samAdhiH|75
samAdhisamatA nAma samAdhiH|75
arajovirajonayayukto nAma samAdhiH|75
araNasamavasaraNo nAma samAdhiH|75
araNasaraNasarvasamavasaraNo nAma samAdhiH|75
anilambhaniketanirato nAma samAdhiH|75
tathatAsthitanizcitto nAma samAdhiH|75
kAyakalisampramathano nAma samAdhiH|75
vAkkalividhvaMsanagaganakalpo nAma samAdhiH|75
AkAzAsaGgavimuktinirupalepo nAma samAdhiH|75
bodhisattvaH|76
mahAsattvaH|76
dhImAn|76
uttamadyutiH|76
jinaputraH|76
jinAdhAraH|76
vijetA|76?
jinANkuraH|76
vikrAntaH|76
paramAryaH|76
sArthavAhaH|76
mahAyazAH|76
kRpAluH|76?
mahApuNyaH|76?
IzvaraH|76
dhArmikaH|76
jinaurasaH|76
dharmato nirgataH|76
mukhatojAtaH|76
nAnAbodhisattvanAmAni|76
avalokitezvaraH|77
maitreyaH|77
AkazagarbhaH|77
samantabhadraH|77
vajrapANiH|77
maJjuzrIkumArabhUtaH|77
sarvanIvaraNaviSkambhI|77
kSitigarbhaH|77
mahAsthAmaprAptaH|77
ratnaketuH|77
ratnapANiH|77
ratnamudrAhastaH|77
ratnamukuTaH|77
ratnacUDaH|77
ratnakUTaH|77
ratnAkaraH|77
ratnazikharaH|77
ratnadhvajaH|77
vajragarbhaH|77
suvarNagarbhaH|77
ratnagarbhaH|77
zrIgarbhaH|77
zubhagarbhaH|77
zubhavimalagarbhaH|77
tathAgatagarbhaH|78
jJAnagarbhaH|78
sUryagarbhaH|78
samAdhigarbhaH|78
padmagarbhaH|78
vimukticandraH|78
samantanetraH|78
padmanetraH|78
vimalanetraH|78
vizalanetraH|78
samanteryapathaH|78
samantaprAsAdikaH|78
samantacAritramatiH|78
jayamatiH|78
siMhavikrIDitaH|78
mahAghoSasvararAjaH|78
simhanAdanAdI|78
gambhIraghoSasvaranAditaH|78
anupaliptaH|78
sarvamalApagataH|78
candraprabhaH|78
sUryaprabhaH|78
jJAnaprabhaH|78
bhadrapAlaH|79
meruzikharadharaH kumArabhUtaH|79
varuNamatiH kumArabhUtaH|79
sumatiH kumArabhUtaH|79
nityodyuktaH|79
susArthavAhaH|79
jyotiSmatiH kumArabhUtaH|79
durdharSaH kumArabhUtaH|79
gaganagaJjaH|79
zUraMgamaH|79
akSayamatiH|79
paratibhAnakUTaH|79
gandhahastI|79
jAlinIprabhaH|79
vardhamAnamatiH|79
samantaprabhaH|79
AdityagarbhaH|79
sarvaviSayAvabhAsAlaMkArapratibhAnadarzanagarbhaH|79
amalagarbhaH|79
vimalagarbhaH|79
jyotirjvalanArcizrIgarbhaH|79
vajrasAraH|79
AzugandhaH|80
nityayuktaH|80
guhaguptaH|80
amoghadarzI|80
susamprasthitaH|80
anikSiptadhuraH|80
anupahatamatiH|80
nityotkSiptahastaH|80
nadIdattaH|80
vijayavikrAmI|80
jayadattaH|80
vigatazokaH|80
bhadrakalpikabodhisattvaH|80
anye ca mahaujaskA bodhisattvAH|80
jagatIMdharaH|80
jyotiSprabhaH|80
ekakAntarAjA|80
bhUmibalavaizAradyadharaH|80
sucandraH|80?
aparAjitatejAH|80
acintikamadhyabhuddhivikrIDitaH|80?
jJAnavibhUtigarbhaH|80
buddhavajrasaMdhAraNasaMdhiH|80
ratnasamudgataH|81
supratiSThitaH|81
akampyaH|81
avinivartanIyaH|81
ratnAkaraH|81
sUryaprabhatejaH|81
sarvArthasiddhaH|81
jJAnolkaH|81
pratyutpannabuddhasaMmukhAvasthitaH|81
bodhisattvadhAraNyaH|81
abhiSecanI|81
jJAnavatI|81
vizuddhasvaranirghoSA|81
akSayakaraNDA|81
anantAvartA|81
sAgaramudrA|81
padmavyUhA|81
asaGgamukhapraveza|81
pratisaMvinnizcayAvatArA|81
buddhAlaMkArAdhiSThitA|82
anantavarNA|82
buddhakAyavarNapariniSpattyabhinirhArA|82
bodhisattvabalAni|82
AzayabalaM|82
adhyAzayabalaM|82
prayogabalaM|82
prajJAbalaM|82
praNidhAnabalaM|82
yAnabalaM|82
caryAbalaM|82
vikurvaNabalaM|82
bodhibalaM|82
dharmacakrapravartanabalaM|82
bodhisattvavazitA|82
cittavazitA|82
pariSkAravazitA|82
AyurvazitA|82
karmavazitA|82
upapattivazitA|82
adhimuktivazitA|83
dharmavazitA|83
praNidhAnavazitA|83
RddhivazitA|83
jJAnavazitA|83
bodhisattvAnAM catvAri vaizAradyAni|83
dhAraNIzrutodgrahaNArthanirdezavaizAradyaM|83
nairAtmyAdhigamAtparaviheThanAnimittasamudAcArasahajAnadhigateryApathatriSkarmaparizuddha mahArakSasaMpannavaizAradyam|83
sadodgRhItadharmAvismaraNaprajJopAyaniSThAgatasattvanistAraNaprasAdasaM darzanazubhAnantarAyikavaizAradyam|83
sarvajJAtAcittAsaMpramoSAnyayAnAniryANasaMpUrNavazitAsarvaprakArasattvArtha saMprApaNavaizAradyam|83
aSTAdazAveNikabodhisattvadharmAH|83
anupadiSTadAnAH|83
anupadiSTazIlAH|84
anupadiSTakSAntayaH|84
anupadiSTavIryAH|84
anupadiSTadhyAnAH|84
anupadiSTa prajJAH|84
saMgrahavastusarvasattvasaMgrAhakAH|84
pariNAmanavidhihjJAH|84
upAyakauzalyasarvasattvacaritAdhipatyaparamayAnaniryANasaMdarzakAH|84
mahAyAnAcyutAH|84
saMsAranirvANamukhasaMdarzakAH|84
yamakavyatyastAhArakuzalAH|84
jJAnapUrvaMgamAnabhisaMskAraniravadyasarvajanmAbhimukhapravRttAH|84
dazakuzalopetakAyavAgmanaskarmAntAH|84
sarvaduHkhaskandhasahAnAtmopAdAnasarvasattvadhAtvaparityAginaH|84
sarvajagadabhirucisaMdarzakAH|84
kiyatkRcchrabAlazrAvakamadhyazubhavyUharatnakalpavRkSadRDhasarvajJAtA cittAsaMpramuSitAH|84
sarvadharmapaTTavAbaddhAbhiSekaprAptibuddhadharmasaMghaparyeSTisaMdarzanAnivRttAH|85
bodhisattvAnAM sUtrAnta-nirgatAni kAni cid guNa-nAmAni|85
ekajAtipratibaddhaH|85
sarvajJAtAbhimukhaH|85
sarvajJAtAnimnaH|85
sarvajJAtApravaNaH|85
sarvajJAtAprAgbhAraH|85
asaGgadhAraNIsamAdhipratilabdhaH|85
zUraMgamasamAdhisamanvAgataH|85
mahAbhijJAvikrIDitAH|85
sarvAvaraNavivaraNaparyutthAnavigataH|85
apratiprazrabdhamArgaH|85
mahAmaitrImahAkaruNAdazadiglokadhAtuspharaNaH|85
anantabuddhakSetrAkramaNakuzalaH|85
zUnyatAgocaraH|86
animittavihArI|86
sarvapraNidhAnanicrayavigataH|86
sarvasattvahitAbhyudyataH|86
sarvabuddhaviSayakuzalaH|86
anantajJAnaH|86
AkAzasamacittaH|86
sAgaravad gambhIracittaH|86
sumeruparvatarAjavad akaMpyacittaH|86
padmavad anupaliptacittaH|86
ratnavat suparizuddhacittaH|86
suvarNavat suparyavadAtacittaH|86
aparimitajJAnasaMbhAraparyeSaNakuzalaH|86
parapravAdyanabhibhUtaH|86
sarvadharmAnAvaraNajJAnI|86
sarvasattvasamacittaH|86
sarvamAraviSayasamAtikrAntaH|86
sarvatathAgataviSayAvatArajJAnakuzalaH|86
